CASEID,age,sex,education,weekly_working_hours,salary
2239,30-39,Male,Graduated high school or partial postsecondary education,40,41000
2239,30-39,Female,Non-university postsecondary certificate or diploma,40,0
2241,40-49,Female,University degree or certificate,126,3100
2241,50-59,Male,Non-university postsecondary certificate or diploma,126,0
2242,60-69,Male,Non-university postsecondary certificate or diploma,20,0
2242,50-59,Female,Non-university postsecondary certificate or diploma,35,57500
2243,50-59,Male,University degree or certificate,32,75000
2243,50-59,Female,University degree or certificate,37.5,25000
2244,40-49,Female,Graduated high school or partial postsecondary education,40,0
2244,16-19,Female,Graduated high school or partial postsecondary education,16,600
2245,50-59,Female,Graduated high school or partial postsecondary education,40,67500
2245,50-59,Male,Non-university postsecondary certificate or diploma,50,7000
2246,30-39,Male,University degree or certificate,45,19500
2246,60-69,Male,Graduated high school or partial postsecondary education,40,57500
2246,50-59,Female,Graduated high school or partial postsecondary education,40,65000
2247,30-39,Female,Graduated high school or partial postsecondary education,47.5,0
2247,40-49,Male,Non-university postsecondary certificate or diploma,44,100000
2250,60-69,Female,Graduated high school or partial postsecondary education,40,5500
2250,50-59,Male,Non-university postsecondary certificate or diploma,40,75000
2252,20-29,Female,University degree or certificate,40,41000
2253,40-49,Male,Non-university postsecondary certificate or diploma,40,100000
2253,40-49,Female,Non-university postsecondary certificate or diploma,30,18000
2254,60-69,Male,University degree or certificate,45,85000
2254,40-49,Female,Less than high school graduation,45,75000
2254,16-19,Female,Less than high school graduation,10,11500
2254,16-19,Male,Less than high school graduation,8,5500
2254,16-19,Female,Less than high school graduation,10,6750
2255,60-69,Male,Non-university postsecondary certificate or diploma,12,9500
2256,16-19,Male,Graduated high school or partial postsecondary education,45,27000
2258,60-69,Male,Graduated high school or partial postsecondary education,40,0
2259,20-29,Male,Non-university postsecondary certificate or diploma,40,57500
2260,20-29,Female,Non-university postsecondary certificate or diploma,40,57500
2260,50-59,Male,Graduated high school or partial postsecondary education,60,25000
2261,20-29,Female,Graduated high school or partial postsecondary education,40,1050
2261,30-39,Female,Graduated high school or partial postsecondary education,10,7000
2262,60-69,Female,Non-university postsecondary certificate or diploma,35,39000
2266,30-39,Female,Non-university postsecondary certificate or diploma,40,18500
2266,30-39,Male,Less than high school graduation,40,42000
2267,60-69,Female,University degree or certificate,37.5,31000
2267,30-39,Male,University degree or certificate,38,47000
2268,20-29,Male,Less than high school graduation,45,40000
2268,30-39,Female,Graduated high school or partial postsecondary education,8,1250
2269,60-69,Female,Non-university postsecondary certificate or diploma,35,33000
2270,30-39,Female,University degree or certificate,22.5,70000
2272,30-39,Female,Non-university postsecondary certificate or diploma,40,50000
2272,30-39,Male,Non-university postsecondary certificate or diploma,20,21000
2273,20-29,Female,University degree or certificate,24,12000
2273,16-19,Female,Graduated high school or partial postsecondary education,40,5250
